ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
6.1906,-59.2082,DEV,-99,0.3667,21.048,19.3961,18.4714
6.1916,-58.2226,SER,-99,0.737,22.2949,20.3397,18.6106
6.1924,-36.7789,SER,-99,0.2363,19.6469,18.9932,18.5151
6.2023,-44.6874,SER,-99,0.3012,21.3793,20.1685,18.4814
6.222,-51.7981,SER,-99,0.7543,22.1011,20.0462,18.2489
6.2376,-37.427,DEV,-99,0.7004,22.1739,20.1109,18.4818
6.2384,-23.9249,EXP,-99,0.748,22.7956,20.9683,19.2752
6.258,-51.8397,SER,-99,0.2099,21.5759,20.4741,19.843
6.2603,-27.4147,REX,-99,0.4601,22.5726,20.7098,19.7002
6.2754,-38.2479,REX,-99,0.2112,20.0909,19.5293,19.2049
6.2783,-64.8853,SER,-99,0.5259,21.51,19.447,18.1934
6.2818,-9.1011,DEV,-99,0.2651,20.7243,19.3022,18.5049
6.2823,-9.101,EXP,-99,0.1301,20.6862,20.2397,19.9124
6.2824,-56.1844,REX,-99,0.229,19.6256,19.1,18.8203
6.283,-48.3257,SER,-99,0.5316,21.1191,19.2351,18.0231
6.2863,-36.686,SER,-99,0.791,22.6004,20.7895,19.0202
6.2904,-59.5025,SER,-99,0.2655,19.1301,17.6866,16.9562
6.2923,-31.6576,SER,-99,0.5444,21.1235,19.5398,18.4069
6.2945,-49.7741,SER,-99,0.688,22.0864,20.1486,18.5906
6.317,-44.8646,SER,-99,0.3758,20.8267,19.0866,18.2259
6.3188,-11.9566,REX,-99,0.3519,20.4728,18.956,18.226
6.3235,-4.0937,SER,-99,0.5601,21.5075,20.6165,19.9528
6.3237,-4.0944,DEV,0.494,0.5009,21.7448,20.0214,18.9281
6.3397,-56.8389,SER,-99,0.4682,20.7621,18.9893,17.9268
6.3426,-27.8401,SER,-99,0.7683,23.7404,21.7128,19.9695
6.3491,-12.2976,REX,-99,0.3436,20.8596,19.6217,18.8696
6.3534,-50.5872,SER,-99,0.3576,19.733,17.9831,17.1153
6.3534,-30.4698,SER,-99,0.6701,21.8521,20.0098,18.4504
