ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
12.9966 ,-39.4787 ,REX,-99,0.7305 ,21.9250 ,20.9205 ,19.7968 ,
13.0087 ,-29.1596 ,DEV,-99,0.6839 ,20.8673 ,19.9908 ,18.8832 ,
13.1124 ,-34.1774 ,SER,-99,0.5976 ,20.7341 ,19.5203 ,18.2719 ,
13.1514 ,-4.2028 ,SER,-99,0.4187 ,20.7550 ,19.6012 ,18.9619 ,
13.3422 ,29.7751 ,SER,0.6205,0.6127 ,21.8856 ,20.0459 ,18.6292 ,
13.4104 ,0.9201 ,SER,-99,0.7308 ,22.8653 ,21.5991 ,19.9244 ,
13.5628 ,-27.8330 ,SER,-99,0.3099 ,20.3794 ,18.9671 ,18.1772 ,
13.5780 ,-9.2686 ,DEV,-99,0.7637 ,23.2898 ,21.4247 ,19.6710 ,
13.7553 ,13.8239 ,DEV,-99,0.8379 ,23.3190 ,20.8698 ,18.8847 ,
13.7833 ,-27.4021 ,SER,-99,0.6132 ,21.3619 ,19.6883 ,18.2873 ,Stein et al.2022
13.7833 ,-27.4021 ,SER,-99,0.6132 ,21.3619 ,19.6883 ,18.2873 ,
13.8203 ,-1.2601 ,DEV,-99,0.6110 ,22.2597 ,20.3339 ,18.9241 ,
13.8403 ,-50.1636 ,SER,-99,0.7160 ,22.3051 ,20.4069 ,18.7922 ,
13.9873 ,-0.6495 ,SER,0.5664314,0.5847 ,20.7991 ,19.2761 ,18.0455 ,Huang et al. 2020
14.1592 ,-1.1806 ,DEV,-99,0.6657 ,21.0684 ,19.7893 ,18.4670 ,
14.1625 ,13.4490 ,SER,-99,0.2475 ,19.5883 ,18.3581 ,17.5281 ,
14.2525 ,-54.2816 ,SER,-99,0.2691 ,18.9342 ,17.4109 ,16.5344 ,
14.4037 ,-48.8040 ,SER,-99,0.4101 ,21.0407 ,19.3471 ,18.4113 ,Diehl et al. 2017
14.4234 ,-21.1483 ,SER,-99,0.2145 ,18.9872 ,17.6866 ,16.9457 ,
14.5112 ,-2.9005 ,SER,0.2668,0.2937 ,18.8730 ,17.4322 ,16.5877 ,
14.6124 ,-21.1789 ,SER,-99,0.5938 ,21.0850 ,19.5198 ,18.2208 ,
14.6336 ,1.5833 ,DEV,-99,0.1874 ,19.5836 ,18.4280 ,17.6744 ,
14.6447 ,-52.0332 ,SER,-99,0.6292 ,21.7164 ,19.9946 ,18.6014 ,Jacobs et al.2019
14.6685 ,5.7665 ,SER,-99,0.6949 ,22.6476 ,20.7257 ,19.1113 ,Huang et al. 2021
14.7127 ,-13.5331 ,DEV,-99,0.6687 ,22.0168 ,20.7682 ,19.3814 ,
14.7596 ,-0.0192 ,SER,0.5405,0.4816 ,21.6612 ,20.1937 ,19.0805 ,
14.8285 ,-33.0330 ,REX,-99,0.7068 ,21.5464 ,20.5385 ,19.3361 ,Stein et al.2022
14.9169 ,-13.3434 ,DEV,-99,0.5517 ,22.1946 ,20.3758 ,19.1478 ,
14.9575 ,-5.5838 ,DEV,-99,0.5623 ,21.6990 ,20.1689 ,18.9251 ,Huang et al. 2021
15.3542 ,-48.6905 ,SER,-99,0.5729 ,21.8045 ,19.9257 ,18.5865 ,
15.3940 ,11.5901 ,SER,0.5129,0.5529 ,21.2313 ,19.5254 ,18.3216 ,
15.4602 ,-14.0671 ,DEV,-99,1.0237 ,24.2236 ,21.9565 ,19.6624 ,
15.5926 ,3.6562 ,DEV,-99,0.1486 ,20.7392 ,20.2545 ,19.9200 ,
15.5955 ,-26.1878 ,SER,-99,0.5735 ,21.2843 ,20.2917 ,19.4343 ,
15.6573 ,-36.5910 ,SER,-99,0.9606 ,23.1117 ,21.3853 ,19.3713 ,
15.6786 ,-23.9439 ,DEV,-99,0.7084 ,22.7324 ,20.7854 ,19.1504 ,Huang et al. 2021
15.8339 ,0.7318 ,SER,-99,0.4293 ,20.7596 ,18.8461 ,17.7318 ,
15.8346 ,0.7319 ,DEV,-99,0.3849 ,22.4346 ,20.6171 ,19.6550 ,
15.8440 ,-18.3629 ,DEV,-99,0.3535 ,20.3890 ,18.6985 ,17.8133 ,Huang et al. 2021
15.9282 ,-57.2098 ,SER,-99,0.6916 ,20.9641 ,19.9635 ,18.8810 ,
