ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
80.9091 ,-21.0160 ,SER,-99,0.7605 ,22.7356 ,20.7522 ,18.9131 ,Huang et al. 2021
81.7547 ,-18.9674 ,SER,-99,0.4420 ,20.3764 ,18.4901 ,17.4574 ,Huang et al. 2021
83.0775 ,-35.7556 ,SER,-99,0.4924 ,20.8830 ,19.0012 ,17.8472 ,Stein et al.2022
83.8284 ,-38.2035 ,DEV,-99,0.6974 ,21.8955 ,20.0880 ,18.4927 ,Stein et al.2022
84.1894 ,-32.7297 ,SER,-99,0.4774 ,20.6439 ,18.8262 ,17.7565 ,Stein et al.2022
84.5193 ,-47.5872 ,SER,-99,0.5817 ,20.7385 ,19.5237 ,18.1700 ,Diehl et al. 2017
85.1439 ,-44.0294 ,SER,-99,0.5618 ,22.2661 ,20.4805 ,19.2324 ,Stein et al.2022
85.5750 ,-21.8217 ,SER,-99,0.5322 ,20.3517 ,18.6565 ,17.4593 ,Huang et al. 2021
87.2007 ,-42.2151 ,DEV,-99,0.7934 ,22.2438 ,20.9983 ,19.3659 ,Stein et al.2022
87.4781 ,-58.9839 ,SER,-99,0.3503 ,19.8377 ,18.1023 ,17.2174 ,Stein et al.2022
89.0012 ,-22.4905 ,EXP,-99,0.9134 ,22.1527 ,21.3624 ,19.8676 ,Stein et al.2022
89.0688 ,-43.7956 ,SER,-99,0.6305 ,20.7615 ,19.7488 ,18.6387 ,Stein et al.2022
89.5700 ,-30.9485 ,SER,-99,0.7081 ,22.7309 ,21.0207 ,19.4055 ,Huang et al. 2021
89.6071 ,-44.1077 ,SER,-99,0.8026 ,21.2971 ,20.3965 ,19.0629 ,Storfer et al. 2022
89.6411 ,-28.7418 ,SER,-99,0.5959 ,20.6729 ,19.6444 ,18.2980 ,Huang et al. 2021
89.9563 ,-35.6701 ,DEV,-99,0.8034 ,22.1152 ,20.6727 ,18.9714 ,Jacobs et al.2019
90.7833 ,-42.1111 ,SER,-99,0.2599 ,20.1842 ,19.3895 ,18.7063 ,Stein et al.2022
91.7214 ,-58.9787 ,DEV,-99,0.8445 ,23.3601 ,21.6873 ,19.8792 ,Stein et al.2022
95.0792 ,-56.4829 ,DEV,-99,0.5673 ,22.1274 ,20.2464 ,18.9242 ,Jacobs et al.2019
96.0659 ,-47.1617 ,DEV,-99,0.8034 ,22.4653 ,20.6610 ,18.7066 ,Jacobs et al.2019
96.2505 ,-45.4358 ,DEV,-99,0.6508 ,20.7576 ,19.3299 ,17.8709 ,Diehl et al. 2017
109.9018 ,27.9032 ,DEV,-99,0.5297 ,21.0277 ,19.1820 ,17.9514 ,Huang et al. 2021
112.0551 ,31.6799 ,DEV,-99,0.6508 ,21.2413 ,19.8838 ,18.5646 ,Huang et al. 2021
114.0195 ,21.3041 ,SER,0.4533 ,0.4561 ,20.3414 ,18.6265 ,17.5912 ,Huang et al. 2021
118.4491 ,20.9528 ,SER,0.8140 ,0.8311 ,22.6989 ,20.2435 ,18.2657 ,Huang et al. 2021
118.7654 ,12.3763 ,DEV,-99,0.7801 ,22.0327 ,20.6302 ,19.0593 ,Huang et al. 2021
119.0587 ,30.2350 ,SER,-99,0.4250 ,20.6969 ,18.9421 ,17.9420 ,Huang et al. 2021
119.2213 ,6.1465 ,DEV,0.6809 ,0.7049 ,21.6257 ,20.1401 ,18.6477 ,Stein et al.2022
120.3653 ,10.5340 ,DEV,0.5727 ,0.5936 ,21.6939 ,19.8553 ,18.4945 ,Stein et al.2022
121.6738 ,24.3557 ,SER,-99,0.6344 ,20.6961 ,19.3415 ,18.0274 ,Stein et al.2022
123.8773 ,30.4680 ,DEV,0.5645 ,0.5494 ,21.8730 ,19.9318 ,18.6337 ,Stein et al.2022
126.6199 ,16.5035 ,DEV,-99,0.8362 ,24.1323 ,21.8244 ,19.8528 ,Stein et al.2022
