ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
32.9493,16.2955,SER,,0.3453,21.8838,20.4895,18.7909
32.9601,-27.4576,REX,,0.7043,20.9641,20.1192,19.1508
32.9976,-59.9403,SER,,0.2064,18.9872,17.914,17.1955
33.0009,-59.9385,DEV,,0.8323,21.2229,20.5733,19.7178
33.064,-33.5297,SER,0.5886,0.5834,20.9522,19.3832,18.0758
33.0929,-61.9974,SER,,0.6503,21.2906,20.4532,19.6673
33.1146,-43.3181,SER,,0.2754,20.5458,19.3255,18.6055
33.1253,1.8769,SER,,0.4897,21.221,19.813,18.8303
33.166,-35.1505,DEV,,0.6862,22.411,20.4436,18.8523
33.2882,-13.9883,REX,,0.4274,22.3722,20.7106,19.7861
33.4407,8.0076,SER,,0.2283,18.8271,17.4402,16.625
33.4607,6.0836,SER,0.2507,0.2352,18.8682,17.4686,16.6639
33.4735,-1.937,SER,,0.3013,20.5399,19.1939,18.3469
33.4978,-21.2827,SER,,0.3373,20.2393,18.5585,17.6958
33.7682,-28.7119,SER,,0.6696,22.5811,20.6903,19.2304
33.8607,-14.8844,SER,,0.2289,18.8168,17.4525,16.6932
33.882,1.6872,SER,,0.1766,18.5613,17.5636,16.9044
33.901,-54.7059,SER,,0.8214,22.5142,20.42,18.4796
34.0145,-18.9568,SER,,0.5914,20.737,18.9349,17.5565
34.0411,-17.3858,SER,,0.3681,19.5276,17.7119,16.796
34.4601,-9.6289,SER,0.0501,0.0259,17.9066,17.4837,17.2288
34.5199,27.5106,DEV,,0.5461,21.8748,19.8766,18.5596
34.7973,-39.8245,REX,,0.1349,19.9318,19.5785,18.8936
35.0539,-12.508,SER,,0.2209,18.782,17.5632,16.8508
35.2583,-14.0897,DEV,,0.5558,22.7899,20.8996,19.6083
35.3672,19.535,SER,,0.2094,19.5791,18.0618,16.957
35.4188,-46.8757,SER,,0.269,19.9355,19.2205,18.6195
35.4391,-16.1155,REX,,0.8374,22.0625,21.2776,19.6804
35.5455,5.1584,DEV,,0.6556,22.846,21.0012,19.484
35.5531,-30.0091,DEV,,0.8288,22.065,21.2112,19.677
35.5831,-64.6716,REX,,0.2551,18.8861,17.5679,16.7532
35.6166,-30.981,EXP,,0.9459,21.9488,21.2552,19.9641
35.6939,23.0161,DEV,,0.7903,23.3688,21.3647,19.4298
35.733,-24.2891,SER,,0.5163,20.9476,19.0645,17.8536
36.0483,-0.3682,REX,,0.3394,21.0913,20.0974,19.3961
36.3518,8.3196,SER,,0.1224,18.7486,17.6922,16.9366
36.4902,-4.9797,SER,0.1428,0.1492,18.48,17.4074,16.7092
36.6222,-55.5358,SER,,0.3028,21.2903,20.3304,19.1543
36.6796,16.1597,SER,,0.2849,21.9984,21.1661,19.1817
36.9554,-27.8666,DEV,,0.6202,23.224,21.3462,19.9521
36.9793,0.7565,SER,0.6462,0.6047,20.6926,19.7393,18.8447
37.295,-17.2695,DEV,,0.9247,23.4088,21.6287,19.6932
37.4357,-19.4047,REX,,0.5641,21.1019,19.9478,19.1342
37.519,2.6855,REX,0.5187,0.5311,20.7048,19.3795,18.4342
37.5201,-33.2401,REX,,0.7014,21.7008,20.6115,19.4133
37.5293,-20.421,DEV,,0.9216,22.1742,21.2515,19.5153
37.7027,-27.0416,SER,,0.3874,20.058,18.4213,17.5075
37.7325,-15.5431,SER,,0.6148,21.7826,19.976,18.556
37.785,1.9184,SER,,0.6449,23.2463,21.43,19.994
37.8241,1.872,SER,,0.6802,22.3243,20.5021,18.9373
37.9118,-35.752,SER,,0.3322,19.689,18.0624,17.2064
37.9592,6.3626,SER,,0.2494,20.3453,19.0177,18.2336
38.0464,17.7918,EXP,,0.6793,21.6639,20.3022,18.7897
38.0829,-12.5985,SER,,0.2135,19.8463,19.2356,18.8357
38.1887,15.5584,SER,,0.1875,19.0358,17.6556,16.756
38.2493,5.9986,DEV,,0.4948,21.9171,20.0162,18.8423
38.5356,-14.8371,EXP,,0.6705,21.2685,20.272,19.193
38.5978,-21.0307,SER,,0.2052,18.9752,17.7315,16.9972
38.6337,-39.9325,DEV,,0.593,20.553,19.7343,18.4272
38.6378,-3.1681,DEV,0.577,0.5915,21.7441,19.9282,18.5843
38.7653,-61.8766,REX,,0.67,21.6082,20.6213,19.3195
38.8763,-39.1156,DEV,,0.5375,22.7386,20.8833,19.6721
38.8781,-39.1155,EXP,,0.5105,20.2305,19.2182,18.4883
39.0793,6.5983,DEV,,0.5687,21.3233,19.6799,18.4353
39.0852,-3.5509,SER,0.265,0.2677,19.3382,17.8179,17.0035
39.1016,-28.6739,SER,,0.6681,21.1557,20.1206,19.1831
39.1086,-22.8702,DEV,,0.5948,21.6516,19.756,18.3658
39.1649,0.4826,REX,,0.4945,21.2441,19.8103,18.8956
39.4288,-45.9114,SER,,0.6048,22.1198,20.2667,18.8487
39.4294,-42.257,SER,,0.7743,21.4631,20.6996,19.7864
39.8741,14.3212,DEV,,0.761,22.0828,20.4024,18.5823
39.9208,-58.9079,DEV,,0.8402,23.2567,20.9185,18.9572
40.0008,-2.0393,SER,,0.7461,20.9381,20.2245,19.2164
40.0144,10.2803,SER,,0.2264,19.1392,17.6532,16.7611
40.1212,-11.6938,SER,,0.7128,22.5999,20.7736,19.1682
40.1823,-28.9496,SER,,0.3286,19.9435,18.9921,18.2778
40.2214,-33.5662,SER,,0.584,21.1961,20.1126,19.2373
40.2602,-6.0838,SER,,0.338,19.7207,18.0243,17.144
40.4023,-38.0871,SER,,0.283,19.8781,18.442,17.6039
40.5294,-33.6994,SER,,0.2511,18.8198,17.6758,16.9537
40.5605,-33.3706,SER,0.3175,0.3395,19.1016,17.4739,16.6136
40.6001,-35.4015,REX,,0.7648,21.8632,20.9283,19.8179
40.6255,0.6716,DEV,,0.7716,22.9549,21.5252,19.9381
40.6907,-61.699,DEV,,0.5229,20.7619,19.3857,18.4437
41.0351,-24.5746,SER,,0.4991,21.3253,19.8528,18.7392
41.1759,-12.3897,SER,,0.669,21.1596,20.1573,19.1876
41.1963,-1.1606,SER,0.584,0.587,20.4329,18.7307,17.3958
41.2769,17.5516,SER,,0.6101,21.8841,19.9732,18.5027
41.3521,-20.5386,SER,,0.7002,21.5982,19.922,18.3144
41.8827,-48.2952,EXP,,0.6227,21.756,20.5145,19.4643
42.3082,-49.8473,DEV,,0.6481,20.2608,18.9471,17.6683
42.6184,-63.1419,DEV,,0.7292,23.4561,21.5254,19.8616
42.9472,-2.6135,DEV,,0.898,22.402,21.517,19.9065
43.1721,-46.9393,SER,,0.2576,19.6707,18.4725,17.7199
